,d_0*,i_0,d_0
212,12.972,1.049204771,4.6602
213,13.038,1.050198807,4.5942
214,13.104,1.051192843,4.5282
215,13.166,1.052186879,4.4662
216,13.232,1.053677932,4.4002
217,13.295,1.054671968,4.3372
218,13.36,1.056163022,4.2722
219,13.423,1.057157058,4.2092
220,13.488,1.058648111,4.1442
221,13.551,1.060139165,4.0812
222,13.616,1.061630219,4.0162
223,13.678,1.063121272,3.9542
224,13.741,1.065109344,3.8912
225,13.808,1.066600398,3.8242
226,13.871,1.068588469,3.7612
227,13.937,1.070576541,3.6952
228,13.989,1.073558648,3.6432
229,14.048,1.076043738,3.5842
230,14.121,1.078528827,3.5112
231,14.172,1.081013917,3.4602
232,14.256,1.08250497,3.3762
233,14.321,1.08499006,3.3112
234,14.372,1.088966203,3.2602
235,14.427,1.09194831,3.2052
236,14.512,1.093439364,3.1202
237,14.573,1.096421471,3.0592
238,14.635,1.099403579,2.9972
239,14.697,1.102882704,2.9352
240,14.76,1.105864811,2.8722
241,14.818,1.114811133,2.8142
242,14.867,1.116799205,2.7652
243,14.949,1.117793241,2.6832
244,15.005,1.120775348,2.6272
245,15.059,1.126242545,2.5732
246,15.108,1.130218688,2.5242
247,15.182,1.132206759,2.4502
248,15.249,1.136182903,2.3832
249,15.295,1.140656064,2.3372
250,15.377,1.151093439,2.2552
251,15.398,1.152584493,2.2342
252,15.459,1.153578529,2.1732
253,15.521,1.157554672,2.1112
254,15.568,1.162524851,2.0642
255,15.623,1.16749503,2.0092
256,15.672,1.172465209,1.9602
257,15.722,1.17693837,1.9102
258,15.772,1.182405567,1.8602
259,15.817,1.187872763,1.8152
260,15.863,1.192345924,1.7692
261,15.911,1.197316103,1.7212
262,15.955,1.203280318,1.6772
263,15.998,1.209741551,1.6342
264,16.037,1.21471173,1.5952
265,16.08,1.229622266,1.5522
266,16.087,1.23111332,1.5452
267,16.141,1.231610338,1.4912
268,16.189,1.234095427,1.4432
269,16.224,1.242544732,1.4082
270,16.254,1.25,1.3782
271,16.285,1.255467197,1.3472
272,16.315,1.260934394,1.3172
273,16.34,1.26640159,1.2922
274,16.366,1.271868787,1.2662
275,16.39,1.276838966,1.2422
276,16.413,1.281809145,1.2192
277,16.433,1.287276342,1.1992
278,16.453,1.291252485,1.1792
279,16.468,1.29473161,1.1642
280,16.4828,1.301192843,1.1494
281,16.4958,1.310636183,1.1364
282,16.5084,1.317097416,1.1238
283,16.5206,1.322564612,1.1116
284,16.5328,1.327534791,1.0994
285,16.5448,1.33250497,1.0874
286,16.5566,1.336481113,1.0756
287,16.5682,1.340954274,1.064
288,16.5796,1.347912525,1.0526
289,16.5908,1.354373757,1.0414
290,16.6018,1.356361829,1.0304
291,16.6126,1.360337972,1.0196
292,16.6232,1.364314115,1.009
293,16.6336,1.368290258,0.9986
294,16.644,1.371769384,0.9882
295,16.6542,1.375745527,0.978
296,16.664,1.379224652,0.9682
297,16.6738,1.382703777,0.9584
298,16.6834,1.38667992,0.9488
299,16.6928,1.390656064,0.9394
300,16.702,1.394632207,0.9302
301,16.711,1.398111332,0.9212
302,16.7198,1.401590457,0.9124
303,16.7286,1.4055666,0.9036
304,16.737,1.408548708,0.8952
305,16.7452,1.412524851,0.887
306,16.7532,1.415506958,0.879
307,16.761,1.419483101,0.8712
308,16.7688,1.424950298,0.8634
309,16.776,1.425944334,0.8562
310,16.7832,1.429423459,0.849
311,16.7904,1.432902584,0.8418
312,16.7972,1.43638171,0.835
313,16.8038,1.439363817,0.8284
314,16.8102,1.442345924,0.822
315,16.8164,1.445328032,0.8158
316,16.8224,1.448310139,0.8098
317,16.8282,1.450795229,0.804
318,16.8338,1.453777336,0.7984
319,16.8394,1.456759443,0.7928
320,16.8446,1.459244533,0.7876
321,16.8496,1.461729622,0.7826
322,16.8544,1.464214712,0.7778
323,16.8592,1.466699801,0.773
324,16.8636,1.469184891,0.7686
325,16.868,1.471172962,0.7642
326,16.8722,1.473658052,0.76
327,16.8762,1.476143141,0.756
328,16.88,1.478131213,0.7522
329,16.8836,1.480119284,0.7486
330,16.887,1.482107356,0.7452
331,16.8904,1.48359841,0.7418
332,16.8936,1.485586481,0.7386
333,16.8966,1.487077535,0.7356
334,16.8996,1.489065606,0.7326
335,16.9022,1.490059642,0.73
336,16.905,1.492047714,0.7272
337,16.9074,1.49304175,0.7248
338,16.9098,1.494532803,0.7224
339,16.9122,1.496023857,0.72
340,16.9142,1.497514911,0.718
341,16.9164,1.499005964,0.7158
342,16.9182,1.5,0.714
343,16.92,1.500994036,0.7122
344,16.9218,1.501988072,0.7104
345,16.9236,1.503479125,0.7086
346,16.9256,1.503976143,0.7066
347,16.9274,1.504970179,0.7048
348,16.9292,1.50695825,0.703
349,16.931,1.507952286,0.7012
350,16.9328,1.508946322,0.6994
351,16.9346,1.509940358,0.6976
